major,starting,percentile10,percentile25,median,percentile75,percentile90
Major,0,0,0,0,0,0
Accounting,46000,42200,56100,77100,108000,152000
Aerospace-Engineering,57700,64300,82100,101000,127000,161000
Agriculture,42600,36300,52100,71900,96300,150000
Anthropology,36800,33800,45500,61500,89300,138000
Architecture,41600,50600,62200,76800,97000,136000
Art-History,35800,28800,42200,64900,87400,125000
Biology,38800,36900,47400,64800,94500,135000
Business-Management,43000,38800,51500,72100,102000,147000
Chemical-Engineering,63200,71900,87300,107000,143000,194000
Chemistry,42600,45300,60700,79900,108000,148000
Civil-Engineering,53900,63400,75100,90500,115000,148000
Communications,38100,37500,49700,70000,98800,143000
Computer-Engineering,61400,66100,84100,105000,135000,162000
Computer-Science,55900,56000,74900,95500,122000,154000
Construction,53700,56300,68100,88900,118000,171000
Criminal-Justice,35000,32200,41600,56300,80700,107000
Drama,35900,36700,41300,56900,79100,153000
Economics,50100,50600,70600,98600,145000,210000
Education,34900,29300,37900,52000,73400,102000
Electrical-Engineering,60900,69300,83800,103000,130000,168000
English,38000,33400,44800,64700,93200,133000
Film,37900,33900,45500,68500,100000,136000
Finance,47900,47200,62100,88300,128000,195000
Forestry,39100,41000,49300,62600,78200,111000
Geography,41200,40000,50000,65500,90800,132000
Geology,43500,45000,59600,79500,101000,156000
Graphic-Design,35700,36000,45500,59800,80800,112000
Health-Care-Administration,38800,34600,45600,60600,78800,101000
History,39200,37000,49200,71000,103000,149000
Hospitality-Tourism,37800,35500,43600,57500,81900,124000
Industrial-Engineering,57700,57100,72300,94700,132000,173000
Information-Technology,49100,44500,56700,74800,96700,129000
Interior-Design,36100,35700,42600,53200,72500,107000
International-Relations,40900,38200,56000,80900,111000,157000
Journalism,35600,38400,48300,66700,97700,145000
Management-Information-Systems,49200,45300,60500,82300,108000,146000
Marketing,40800,42100,55600,79600,119000,175000
Math,45400,45200,64200,92400,128000,183000
Mechanical-Engineering,57900,63700,76200,93600,120000,163000
Music,35900,26700,40200,55000,88000,134000
Nursing,54200,47600,56400,67000,80900,98300
Nutrition,39900,33900,44500,55300,70500,99200
Philosophy,39900,35500,52800,81200,127000,168000
Physician-Assistant,74300,66400,75200,91700,108000,124000
Physics,50300,56000,74200,97300,132000,178000
Political-Science,40800,41200,55300,78200,114000,168000
Psychology,35900,31600,42100,60400,87500,127000
Religion,34100,29700,36500,52000,70900,96400
Sociology,36500,30700,40400,58200,81200,118000
Spanish,34000,31000,40000,53100,76800,96400
